trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.35, 'e': 0.7350000000000056}",25,0,-34.51012664833437,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.35, 'e': 0.7325000000000057}",25,0,-171.19205457144787,"{0: 13, 1: 0, 2: 7, 3: 4, 4: 1}",0
108,False,"{'a': 0.35, 'e': 0.7300000000000058}",30,15,7.627118625886911,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.35, 'e': 0.7275000000000058}",25,0,-54.67693020303635,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.35, 'e': 0.7250000000000059}",25,10,7.159618316273714,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.35, 'e': 0.7225000000000059}",25,18,-18.02414174014719,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.35, 'e': 0.720000000000006}",30,0,-23.610644318082823,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
113,False,"{'a': 0.35, 'e': 0.717500000000006}",20,0,-54.31807327118391,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.35, 'e': 0.7150000000000061}",25,0,-42.01531665419042,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.35, 'e': 0.7125000000000061}",25,0,-127.9449759090383,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
116,False,"{'a': 0.35, 'e': 0.7100000000000062}",20,0,-80.98241130276863,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.35, 'e': 0.7075000000000062}",30,20,-25.200726656151605,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.35, 'e': 0.7050000000000063}",20,0,-36.85834000843386,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.35, 'e': 0.7025000000000063}",30,0,-96.94004861051994,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
120,False,"{'a': 0.35, 'e': 0.7000000000000064}",35,0,-178.1089147123228,"{0: 21, 1: 5, 2: 4, 3: 3, 4: 2}",0
121,False,"{'a': 0.35, 'e': 0.6975000000000064}",20,0,-132.5977268726174,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
122,False,"{'a': 0.35, 'e': 0.6950000000000065}",20,0,-76.03059324699659,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.35, 'e': 0.6925000000000066}",25,0,-53.84760835404091,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
124,False,"{'a': 0.35, 'e': 0.6900000000000066}",25,0,-66.55619717285224,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
